Households,Population,Total_rooms,Total_bedrooms,Longitude,Latitude,Median_income,Median_house_value,Ocean_proximity
10,34,34,11,-117.87,33.85,5.2949,350000,<1H OCEAN
10,41,41,12,-117.89,33.8,6.0224,187500,<1H OCEAN
10,41,41,6,-118.22,34.06,10.2264,112500,<1H OCEAN
11,30,30,282,-120.1,38.91,1.875,500001,INLAND
11,23,23,6,-122.39,38.0,4.125,212500,NEAR BAY
11,26,26,9,-117.8,33.63,4.1944,270800,<1H OCEAN
11,49,49,15,-118.36,33.82,6.1359,330000,<1H OCEAN
12,30,30,11,-122.42,37.63,2.375,275000,NEAR OCEAN
12,27,27,18,-117.09,34.01,4.0556,131300,INLAND
13,44,44,19,-120.19,38.07,0.4999,162500,INLAND
13,43,43,17,-122.52,38.7,0.536,87500,INLAND
13,76,76,11,-117.3,34.1,2.5625,75000,INLAND
13,24,24,11,-118.44,34.28,2.875,162500,<1H OCEAN
13,132,132,28,-121.93,37.4,3.375,67500,<1H OCEAN
13,59,59,13,-117.11,33.12,3.875,200000,<1H OCEAN
13,20,20,38,-122.65,38.92,4.125,112500,INLAND
13,6532,6532,17,-120.7,35.32,4.2639,350000,NEAR OCEAN
13,46,46,10,-119.83,36.72,4.35,67500,INLAND
13,55,55,10,-117.42,33.89,7.7197,193800,INLAND
14,47,47,28,-121.31,37.44,0.536,112500,INLAND
14,53,53,26,-117.92,34.63,1.4091,137500,INLAND
14,26,26,14,-121.9,37.39,1.7361,500001,<1H OCEAN
14,29,29,85,-116.5,33.82,2.1042,87500,INLAND
14,39,39,7,-117.22,33.87,2.625,500001,INLAND
14,64,64,10,-121.32,37.94,2.625,55000,INLAND
14,39,39,11,-117.08,34.08,3.0625,500001,INLAND
14,46,46,14,-117.12,34.1,3.2708,162500,INLAND
14,51,51,12,-120.96,37.64,3.625,67500,INLAND
14,29,29,17,-121.52,39.12,4.125,72000,INLAND
14,66,66,8,-117.99,33.81,4.1667,162500,<1H OCEAN
14,30,30,16,-121.28,38.63,10.2264,350000,INLAND
15,29,29,24,-114.67,33.92,1.2656,27500,INLAND
15,31,31,13,-122.22,37.88,2.4444,475000,NEAR BAY
15,51,51,16,-119.32,34.35,2.475,225000,NEAR OCEAN
15,64,64,12,-117.17,33.83,4.6,187500,INLAND
15,36,36,511,-120.08,38.8,4.625,162500,INLAND
15,32,32,15,-117.95,35.08,4.875,141700,INLAND
15,69,69,22,-119.05,34.13,5.0066,275000,NEAR OCEAN
16,44,44,9,-117.75,34.06,0.4999,112500,INLAND
16,28,28,245,-121.25,40.27,2.625,67500,INLAND
16,309,309,10,-119.09,34.22,4.0208,52500,NEAR OCEAN
16,60,60,9,-117.37,34.07,4.125,262500,INLAND
16,55,55,41,-120.5,38.87,4.9583,87500,INLAND
16,29,29,14,-118.23,33.76,5.0,87500,NEAR OCEAN
16,74,74,14,-118.3,34.17,5.0056,162500,<1H OCEAN
16,30,30,18,-115.8,33.26,5.3374,47500,INLAND
16,58,58,12,-121.87,37.46,15.0001,500001,<1H OCEAN
17,37,37,25,-115.95,33.28,1.8958,53800,INLAND
17,29,29,12,-118.48,34.47,3.375,187500,<1H OCEAN
17,43,43,18,-117.19,33.53,3.475,187500,<1H OCEAN
17,32,32,20,-118.25,34.09,3.75,241700,<1H OCEAN
17,35,35,108,-121.78,40.12,6.1359,106300,INLAND
17,63,63,19,-121.98,37.14,9.5908,350000,<1H OCEAN
18,47,47,18,-121.0,37.67,1.125,87500,INLAND
18,36,36,107,-119.95,38.95,2.625,187500,INLAND
18,39,39,20,-119.48,35.17,3.125,37500,INLAND
18,50,50,22,-117.44,33.96,12.5381,112500,INLAND
19,26,26,114,-122.89,39.42,0.4999,73500,INLAND
19,119,119,21,-121.5,38.59,1.725,67500,INLAND
19,68,68,20,-122.42,37.64,2.225,212500,NEAR OCEAN
19,55,55,27,-122.38,37.73,2.625,187500,NEAR BAY
19,69,69,20,-118.41,34.0,3.9643,275000,<1H OCEAN
19,65,65,10,-122.05,37.97,6.1359,250000,NEAR BAY
20,1275,1275,19,-117.33,33.97,1.625,162500,INLAND
20,150,150,16,-118.48,34.02,2.625,250000,<1H OCEAN
20,50,50,21,-121.32,37.96,2.7656,50000,INLAND
20,51,51,130,-119.57,37.94,3.4861,137500,INLAND
20,50,50,16,-121.29,38.01,3.75,120800,INLAND
20,51,51,49,-115.88,32.93,4.0208,32500,INLAND
20,100,100,23,-118.37,33.96,4.875,175000,<1H OCEAN
20,129,129,22,-117.92,34.07,9.7066,182500,<1H OCEAN
21,37,37,22,-121.84,38.02,0.536,87500,INLAND
21,59,59,21,-122.51,37.58,2.2375,450000,NEAR OCEAN
21,79,79,19,-116.18,33.69,2.375,155000,INLAND
21,41,41,43,-115.94,33.38,2.7,58800,INLAND
21,44,44,178,-120.33,39.3,3.0,175000,INLAND
21,66,66,16,-119.01,35.24,3.125,65000,INLAND
21,48,48,111,-118.37,36.19,3.125,71300,INLAND
21,55,55,17,-118.68,34.08,3.9934,500001,NEAR OCEAN
21,51,51,23,-121.82,37.73,4.3472,375000,INLAND
21,32,32,20,-117.05,33.03,4.3571,144600,<1H OCEAN
21,78,78,38,-122.03,37.18,6.0622,390000,<1H OCEAN
21,59,59,38,-119.5,34.35,11.7794,500001,NEAR OCEAN
22,74,74,35,-121.01,37.64,1.3036,75000,INLAND
22,65,65,18,-117.17,32.73,1.6591,112500,NEAR OCEAN
22,51,51,26,-117.9,36.95,1.7292,137500,INLAND
22,48,48,18,-122.28,38.31,1.76,166700,NEAR BAY
22,72,72,20,-120.95,37.65,2.2279,225000,INLAND
22,91,91,20,-120.79,37.08,2.9063,55000,INLAND
22,63,63,49,-120.35,40.63,3.625,200000,INLAND
22,54,54,18,-120.32,37.91,4.375,100000,INLAND
22,219,219,28,-121.97,37.44,4.5179,112500,<1H OCEAN
23,47,47,59,-123.35,40.99,1.125,66000,INLAND
23,58,58,14,-117.11,32.68,1.9107,125000,NEAR OCEAN
23,69,69,24,-118.23,33.78,2.5588,350000,NEAR OCEAN
23,51,51,16,-118.21,33.99,3.2188,112500,<1H OCEAN
23,95,95,29,-117.81,33.86,3.5625,235000,<1H OCEAN
23,61,61,20,-118.39,33.92,5.25,247200,<1H OCEAN
23,86,86,29,-122.29,37.82,6.1183,75000,NEAR BAY
24,63,63,46,-115.98,33.32,1.4688,53800,INLAND
24,130,130,44,-117.37,33.98,2.025,125000,INLAND
24,69,69,26,-121.29,37.8,3.7292,475000,INLAND
24,65,65,26,-118.24,34.08,4.025,137500,<1H OCEAN
24,86,86,20,-118.24,34.08,4.9844,187500,<1H OCEAN
25,62,62,26,-121.3,38.05,1.15,112500,INLAND
25,42,42,15,-122.41,37.98,1.4583,67500,NEAR BAY
25,87,87,17,-118.25,34.06,1.5491,225000,<1H OCEAN
25,58,58,26,-120.13,37.93,1.675,112500,INLAND
25,55,55,40,-122.34,41.21,2.0375,57500,INLAND
25,86,86,27,-122.12,37.65,2.375,137500,NEAR BAY
25,45,45,20,-122.5,37.96,6.1359,212500,NEAR BAY
25,40,40,18,-122.28,38.22,7.5197,275000,NEAR BAY
26,158,158,26,-119.01,35.38,1.075,67500,INLAND
26,93,93,34,-122.39,37.72,2.1484,181300,NEAR BAY
26,121,121,28,-117.97,34.11,3.0417,137500,INLAND
26,59,59,24,-121.23,37.87,3.65,162500,INLAND
26,54,54,264,-120.16,39.01,4.975,206300,INLAND
26,55,55,32,-121.59,37.19,15.0001,131300,<1H OCEAN
27,64,64,33,-114.65,32.79,0.8571,25000,INLAND
27,71,71,87,-117.18,34.3,1.875,71300,INLAND
27,86,86,18,-122.91,39.18,2.0208,72500,INLAND
27,47,47,262,-121.54,40.06,2.4028,67500,INLAND
27,67,67,25,-118.68,34.33,2.9821,325000,<1H OCEAN
27,88,88,28,-122.39,37.76,3.675,162500,NEAR BAY
27,41,41,52,-118.26,34.05,4.0972,500001,<1H OCEAN
27,113,113,24,-122.39,37.79,4.6563,350000,NEAR BAY
27,37,37,24,-122.39,37.74,10.2264,225000,NEAR BAY
27,93,93,23,-121.0,39.0,10.9891,312500,INLAND
27,50,50,21,-122.48,37.64,12.5,281000,NEAR OCEAN
28,75,75,29,-117.54,33.82,4.125,216700,INLAND
28,101,101,34,-117.53,34.02,5.3269,375000,INLAND
28,1154,1154,34,-118.45,34.06,9.337,500001,<1H OCEAN
29,63,63,42,-118.38,34.24,1.3594,158300,<1H OCEAN
29,84,84,28,-121.78,39.71,2.125,179200,INLAND
29,66,66,50,-122.69,39.04,2.7639,112500,INLAND
29,79,79,29,-121.2,37.78,3.375,106300,INLAND
29,153,153,72,-122.41,37.78,3.8625,350000,NEAR BAY
29,6675,6675,44,-121.15,38.69,6.1359,225000,INLAND
29,63,63,22,-119.08,34.17,7.3004,125000,NEAR OCEAN
29,84,84,26,-122.11,37.31,13.8093,500001,<1H OCEAN
29,268,268,31,-118.04,34.13,15.0001,500001,INLAND
30,153,153,29,-118.21,33.79,2.1964,150000,NEAR OCEAN
30,54,54,34,-122.14,38.03,2.5795,225000,NEAR BAY
30,79,79,42,-119.81,37.67,3.8333,93800,INLAND
30,85,85,23,-118.39,34.04,4.125,237500,<1H OCEAN
30,1542,1542,27,-121.29,37.89,5.7485,162500,INLAND
31,142,142,58,-118.08,34.15,0.4999,500001,INLAND
31,36,36,35,-119.02,35.38,0.8054,60000,INLAND
31,89,89,28,-117.35,33.99,2.6071,112500,INLAND
31,75,75,31,-121.99,38.36,3.5179,84400,INLAND
31,108,108,36,-122.61,38.93,4.3897,71300,INLAND
31,83,83,25,-122.03,37.69,6.5,340000,NEAR BAY
32,542,542,30,-120.69,35.34,1.6563,42500,NEAR OCEAN
32,104,104,30,-120.67,37.37,1.6607,87500,INLAND
32,50,50,17,-121.38,38.68,1.7596,93800,INLAND
32,54,54,29,-118.35,34.32,1.9875,191700,<1H OCEAN
32,158,158,32,-121.92,37.36,3.1563,137500,<1H OCEAN
32,86,86,255,-120.32,38.71,3.5667,115600,INLAND
32,85,85,32,-121.93,38.31,4.875,250000,INLAND
33,66,66,48,-118.42,34.2,1.0,187500,<1H OCEAN
33,81,81,57,-116.0,33.19,1.2639,51300,INLAND
33,35,35,23,-121.0,37.71,2.25,175000,INLAND
33,113,113,36,-119.05,34.19,2.8942,275000,NEAR OCEAN
33,82,82,369,-120.19,38.42,3.125,77500,INLAND
33,91,91,36,-122.24,38.25,4.9167,187500,NEAR BAY
34,191,191,31,-122.28,37.8,0.75,162500,NEAR BAY
34,100,100,45,-122.37,37.95,1.6023,81300,NEAR BAY
34,117,117,35,-114.57,33.52,2.0833,45000,INLAND
34,101,101,32,-116.97,32.83,2.6458,112500,<1H OCEAN
34,99,99,41,-117.61,34.01,3.9696,500000,INLAND
34,85,85,159,-120.21,39.35,4.7917,187500,INLAND
34,63,63,29,-122.49,37.85,12.2547,500001,NEAR BAY
35,125,125,26,-118.24,34.12,0.8907,154200,<1H OCEAN
35,65,65,30,-121.4,38.53,0.9274,67500,INLAND
35,130,130,33,-118.85,34.27,3.3438,500001,<1H OCEAN
35,193,193,30,-117.92,34.0,3.8125,136300,<1H OCEAN
35,103,103,35,-121.98,38.36,4.163,112500,INLAND
35,79,79,37,-119.19,34.25,4.1667,214600,NEAR OCEAN
36,96,96,18,-118.21,33.79,4.5938,112500,NEAR OCEAN
36,92,92,39,-120.88,37.53,5.3168,175000,INLAND
37,121,121,34,-121.39,39.39,3.0208,60000,INLAND
37,171,171,39,-119.8,36.02,3.05,225000,INLAND
37,208,208,42,-117.86,33.71,3.375,157500,<1H OCEAN
37,92,92,37,-121.07,37.71,3.375,212500,INLAND
37,87,87,35,-123.43,40.22,3.625,67500,INLAND
37,64,64,380,-119.34,37.12,3.875,125000,INLAND
37,120,120,58,-121.03,37.65,3.9844,150000,INLAND
37,118,118,35,-119.09,35.43,4.8571,237500,INLAND
38,85,85,73,-122.74,39.71,1.6607,14999,INLAND
38,125,125,44,-121.31,37.9,2.9,125000,INLAND
38,83,83,41,-118.32,34.18,3.0179,118800,<1H OCEAN
38,131,131,53,-120.0,35.91,3.125,62500,INLAND
38,89,89,33,-122.41,37.94,3.2875,275000,NEAR BAY
38,75,75,41,-122.56,37.9,5.1292,362500,NEAR BAY
38,101,101,36,-122.05,38.25,6.2299,105400,INLAND
39,125,125,42,-122.27,37.8,0.9722,137500,NEAR BAY
39,102,102,48,-116.42,33.51,2.5625,103100,INLAND
39,27,27,214,-121.0,39.75,2.5893,83000,INLAND
39,158,158,63,-116.8,33.8,3.4167,100000,INLAND
39,88,88,78,-119.51,37.32,3.5893,214300,INLAND
39,142,142,42,-122.91,39.17,4.35,68300,INLAND
39,92,92,44,-119.14,34.49,7.75,375000,<1H OCEAN
40,145,145,54,-121.57,39.48,0.8252,42500,INLAND
40,136,136,42,-117.56,33.94,1.625,164300,INLAND
40,106,106,38,-119.9,36.2,1.875,137500,INLAND
40,193,193,28,-119.79,36.73,1.975,47500,INLAND
40,101,101,43,-121.82,38.02,2.2361,93800,INLAND
40,164,164,41,-121.26,36.32,2.3,206300,<1H OCEAN
40,142,142,36,-118.3,33.85,2.3942,200000,<1H OCEAN
40,77,77,45,-117.2,32.77,3.2679,137500,NEAR OCEAN
40,121,121,59,-121.04,37.7,3.3036,197500,INLAND
40,99,99,42,-118.25,34.11,3.4375,170000,<1H OCEAN
40,118,118,44,-122.44,37.74,4.5375,350000,NEAR BAY
41,658,658,41,-121.0,37.64,0.9573,162500,INLAND
41,477,477,35,-119.01,35.37,1.9125,47500,INLAND
41,92,92,56,-122.6,38.9,2.9583,91700,INLAND
41,95,95,38,-121.28,38.53,3.1042,165000,INLAND
41,88,88,115,-119.93,37.85,4.0833,137500,INLAND
41,112,112,45,-122.01,36.99,6.4469,271400,NEAR OCEAN
41,117,117,40,-118.69,34.08,9.7646,500001,NEAR OCEAN
42,98,98,372,-120.06,39.15,1.1912,170000,INLAND
42,119,119,47,-117.64,34.02,2.125,416700,INLAND
42,88,88,73,-121.99,38.15,2.5313,162500,INLAND
42,157,157,41,-117.02,32.64,6.5151,281700,NEAR OCEAN
42,120,120,42,-117.18,33.51,6.993,500001,<1H OCEAN
42,76,76,41,-122.16,37.45,7.6129,412500,NEAR BAY
42,83,83,40,-121.85,37.72,10.3203,400000,INLAND
43,126,126,41,-122.36,37.92,1.3929,104200,NEAR BAY
43,69,69,199,-121.08,40.19,1.6944,137500,INLAND
43,115,115,39,-121.42,38.55,2.6417,98900,INLAND
43,87,87,41,-121.02,37.71,3.6023,131300,INLAND
43,140,140,59,-119.2,34.25,3.8889,187500,NEAR OCEAN
43,120,120,74,-116.67,32.97,5.359,193800,<1H OCEAN
43,213,213,102,-117.53,33.69,10.9704,483300,<1H OCEAN
43,140,140,51,-121.92,37.74,12.5915,432400,<1H OCEAN
44,125,125,51,-117.7,33.72,1.9659,500001,<1H OCEAN
44,97,97,408,-119.93,38.94,2.4917,200000,INLAND
45,74,74,33,-118.28,33.93,0.4999,90600,<1H OCEAN
45,83,83,635,-114.49,33.97,1.6154,87500,INLAND
45,137,137,47,-118.24,34.03,1.8333,312500,<1H OCEAN
45,120,120,38,-122.08,39.25,3.017,112500,INLAND
45,167,167,44,-121.32,38.04,4.5,92800,INLAND
45,133,133,62,-117.55,33.52,5.136,447400,<1H OCEAN
45,142,142,38,-119.17,34.31,5.2681,500001,NEAR OCEAN
45,121,121,47,-118.23,34.21,6.213,285000,<1H OCEAN
46,239,239,51,-120.64,37.7,1.8958,137500,INLAND
46,88,88,50,-122.52,37.88,3.8068,275000,NEAR BAY
46,130,130,56,-117.64,33.45,4.875,284100,NEAR OCEAN
46,200,200,47,-117.59,33.93,7.8118,244200,INLAND
46,128,128,51,-118.41,33.75,9.8091,500001,NEAR OCEAN
47,112,112,153,-121.76,41.5,1.0667,34200,INLAND
47,147,147,49,-121.21,37.5,3.0,162500,INLAND
47,130,130,53,-121.31,37.81,3.1429,179200,INLAND
47,575,575,31,-122.18,37.78,3.875,225000,NEAR BAY
47,152,152,44,-121.9,37.33,4.05,200000,<1H OCEAN
47,122,122,94,-120.26,38.13,4.0583,87500,INLAND
47,161,161,55,-118.86,35.9,4.125,71300,INLAND
47,98,98,54,-122.24,37.85,4.9643,335000,NEAR BAY
47,124,124,48,-120.59,37.59,5.6945,154200,INLAND
47,100,100,67,-118.37,34.1,15.0001,500001,<1H OCEAN
48,107,107,44,-117.08,33.12,0.7054,137500,<1H OCEAN
48,89,89,54,-122.29,38.3,1.0096,162500,NEAR BAY
48,98,98,408,-118.59,35.72,1.4205,90000,INLAND
48,220,220,52,-117.08,32.59,2.3929,134400,NEAR OCEAN
48,112,112,528,-120.06,39.01,4.0714,437500,INLAND
48,151,151,41,-121.48,39.05,4.5625,100000,INLAND
49,77,77,78,-121.23,37.94,1.125,150000,INLAND
49,140,140,102,-123.08,40.4,1.7969,37500,INLAND
49,106,106,52,-119.02,35.39,2.0455,72500,INLAND
49,154,154,62,-122.33,39.1,2.25,75000,INLAND
49,115,115,55,-117.27,33.93,3.1042,164800,INLAND
49,114,114,35,-121.93,37.78,3.1591,434700,<1H OCEAN
49,149,149,49,-121.23,37.78,4.8229,158300,INLAND
49,116,116,50,-121.22,38.04,5.5376,212500,INLAND
50,108,108,102,-116.9,34.69,0.4999,55000,INLAND
50,222,222,41,-118.22,33.79,1.7,104200,NEAR OCEAN
50,198,198,65,-118.36,34.21,1.8929,152900,<1H OCEAN
50,157,157,40,-117.99,33.81,2.2,153100,<1H OCEAN
50,118,118,57,-120.35,37.86,2.3056,162500,INLAND
50,171,171,45,-119.63,36.18,2.4286,100000,INLAND
50,69,69,67,-116.57,34.0,3.5208,76600,INLAND
50,925,925,55,-118.16,34.07,3.5769,135700,<1H OCEAN
50,170,170,51,-117.88,34.0,3.9375,187500,<1H OCEAN
50,119,119,98,-117.51,34.16,4.1,315000,INLAND
50,137,137,54,-122.13,37.75,4.975,311100,NEAR BAY
50,93,93,51,-117.84,33.76,5.375,215700,<1H OCEAN
51,133,133,62,-121.07,39.2,1.0,90600,INLAND
51,201,201,50,-121.16,38.03,1.4732,156300,INLAND
51,124,124,68,-122.38,37.76,1.4886,450000,NEAR BAY
51,207,207,49,-117.86,33.75,1.8,154200,<1H OCEAN
51,154,154,47,-121.39,38.69,4.0909,108300,INLAND
51,134,134,44,-122.14,37.42,4.15,265000,NEAR BAY
51,141,141,52,-121.76,37.26,4.6458,500001,<1H OCEAN
52,316,316,57,-122.36,37.96,0.716,104200,NEAR BAY
52,71,71,48,-121.94,38.38,1.0208,78600,INLAND
52,151,151,55,-117.12,34.06,1.3906,120800,INLAND
52,308,308,49,-118.23,33.93,1.4028,105400,<1H OCEAN
52,106,106,259,-116.88,34.19,1.6875,225000,INLAND
52,138,138,44,-118.37,34.03,2.125,196400,<1H OCEAN
52,166,166,70,-121.06,36.72,2.2132,100000,INLAND
52,138,138,58,-121.27,38.02,2.9821,155000,INLAND
52,137,137,129,-114.98,33.82,3.2097,71300,INLAND
52,194,194,49,-122.0,38.83,3.4187,98400,INLAND
52,126,126,38,-122.18,37.81,6.3624,483300,NEAR BAY
53,167,167,79,-121.29,37.95,0.7917,22500,INLAND
53,141,141,151,-123.41,40.07,0.8362,87500,INLAND
53,113,113,435,-120.3,38.9,0.9227,95500,INLAND
53,261,261,55,-118.02,34.62,2.1413,96900,INLAND
53,147,147,69,-118.12,34.23,3.9583,162500,INLAND
53,153,153,42,-122.25,37.39,10.6514,500001,NEAR OCEAN
54,272,272,86,-121.29,37.95,0.696,42500,INLAND
54,188,188,59,-121.86,38.04,1.3958,67500,INLAND
54,98,98,86,-115.9,32.69,1.5417,57500,INLAND
54,191,191,49,-122.83,38.99,1.6833,113900,INLAND
54,123,123,99,-115.72,32.75,2.0938,87500,INLAND
54,115,115,55,-123.18,39.23,2.125,175000,<1H OCEAN
54,171,171,61,-121.2,37.8,4.0972,101800,INLAND
54,179,179,63,-117.78,33.97,8.4411,500001,<1H OCEAN
54,208,208,48,-119.31,34.44,12.632,500001,NEAR OCEAN
55,198,198,92,-119.99,36.09,0.4999,100000,INLAND
55,267,267,60,-118.23,34.0,1.5227,350000,<1H OCEAN
55,198,198,69,-115.64,32.75,1.625,112500,INLAND
55,154,154,53,-121.3,38.09,2.0694,175000,INLAND
55,228,228,43,-122.25,37.79,2.1,75000,NEAR BAY
55,186,186,55,-117.15,34.48,2.125,64800,INLAND
55,142,142,272,-121.82,36.86,2.1719,420000,NEAR OCEAN
55,150,150,74,-118.09,34.15,2.2321,237500,INLAND
55,149,149,38,-121.44,38.61,2.6442,55000,INLAND
55,168,168,76,-122.41,37.77,3.2292,275000,NEAR BAY
55,241,241,61,-121.85,37.44,7.309,367900,<1H OCEAN
56,266,266,71,-118.18,34.06,0.8941,98200,<1H OCEAN
56,183,183,56,-122.27,37.81,1.1667,112500,NEAR BAY
56,132,132,78,-115.75,35.23,2.5333,75000,INLAND
56,246,246,43,-118.25,33.93,2.85,90000,<1H OCEAN
56,61,61,41,-118.37,33.93,2.8958,245800,<1H OCEAN
56,150,150,65,-116.05,34.12,3.125,65600,INLAND
56,152,152,61,-115.6,33.04,3.3472,91700,INLAND
56,143,143,63,-120.24,39.67,3.625,68600,INLAND
56,149,149,64,-122.12,37.28,5.8691,360000,<1H OCEAN
56,150,150,62,-122.62,37.97,7.7006,316700,NEAR OCEAN
57,131,131,146,-123.32,40.43,0.4999,56700,INLAND
57,112,112,81,-115.96,33.3,1.125,54400,INLAND
57,135,135,94,-116.05,33.33,1.7292,81300,INLAND
57,249,249,66,-118.25,34.06,1.7763,312500,<1H OCEAN
57,248,248,74,-117.11,32.67,1.7961,47500,NEAR OCEAN
57,206,206,81,-115.73,32.8,2.2083,93800,INLAND
57,130,130,69,-119.31,34.38,2.4375,225000,NEAR OCEAN
57,94,94,43,-122.29,37.82,2.5625,60000,NEAR BAY
57,182,182,73,-121.25,38.0,2.8958,135000,INLAND
57,230,230,42,-118.24,33.98,3.0724,110700,<1H OCEAN
57,184,184,62,-117.51,33.97,3.6691,137500,INLAND
57,134,134,58,-121.23,38.12,3.95,178100,INLAND
57,146,146,64,-122.92,39.08,4.0,166300,INLAND
58,130,130,89,-120.46,37.65,1.4464,79200,INLAND
58,119,119,95,-114.94,34.55,1.625,50000,INLAND
58,184,184,73,-118.21,33.93,2.7679,108900,<1H OCEAN
58,144,144,74,-121.61,37.77,4.2083,125000,INLAND
58,158,158,69,-122.19,37.71,5.5461,262500,NEAR BAY
59,252,252,75,-118.22,33.89,2.1211,138100,<1H OCEAN
59,186,186,148,-122.7,39.0,2.3125,162500,INLAND
59,193,193,74,-121.18,37.96,2.5625,146900,INLAND
59,169,169,65,-121.32,39.13,3.0,162500,INLAND
59,293,293,69,-116.99,33.92,3.7083,147500,INLAND
59,184,184,109,-116.27,34.13,3.7292,65800,INLAND
59,119,119,70,-118.42,34.16,4.0208,341700,<1H OCEAN
59,133,133,48,-121.37,38.64,4.6111,139300,INLAND
60,188,188,59,-117.32,34.55,0.8246,91700,INLAND
60,176,176,52,-120.94,37.63,1.425,69400,INLAND
60,196,196,57,-123.19,39.12,2.3125,70000,<1H OCEAN
60,214,214,66,-121.64,36.67,3.0197,137500,<1H OCEAN
60,259,259,67,-118.22,33.97,3.0313,166100,<1H OCEAN
60,302,302,70,-118.16,34.04,3.1895,156300,<1H OCEAN
60,391,391,68,-117.74,33.73,4.1167,87500,<1H OCEAN
61,152,152,84,-123.21,40.51,1.375,48800,INLAND
61,161,161,63,-122.48,38.9,2.1964,112500,INLAND
61,135,135,61,-120.23,37.86,2.4615,137500,INLAND
61,157,157,71,-116.61,33.93,2.8056,68100,INLAND
61,258,258,103,-115.73,33.09,2.9,87500,INLAND
61,175,175,68,-122.18,38.35,6.0266,216700,INLAND
61,128,128,61,-117.67,33.49,8.163,250000,<1H OCEAN
62,152,152,53,-121.01,37.65,0.4999,82500,INLAND
62,246,246,61,-118.43,34.3,1.7062,164600,<1H OCEAN
62,214,214,111,-122.7,39.14,3.3929,108300,INLAND
62,169,169,63,-121.24,37.95,3.7734,63800,INLAND
62,161,161,63,-122.68,38.43,6.0774,334400,<1H OCEAN
63,129,129,92,-119.02,35.38,1.1875,63800,INLAND
