Households,Population,Total_rooms,Total_bedrooms,Longitude,Latitude,Median_income,Median_house_value,Ocean_proximity
390,1199,1199,384,-118.86,34.2,4.125,218495.01,<1H OCEAN
1778,4432,4432,2121,-119.74,36.85,3.9032,138886.0,INLAND
186,764,764,227,-119.0,35.36,0.9407,47705.0,INLAND
306,704,704,330,-118.15,34.11,3.7895,259964.0,<1H OCEAN
632,2272,2272,644,-117.11,32.74,2.2,112204.0,NEAR OCEAN
610,2143,2143,618,-117.55,33.88,2.2372,122790.0,INLAND
197,625,625,222,-122.14,39.97,3.1319,90604.0,INLAND
588,2042,2042,574,-117.76,33.7,7.9125,357315.0,<1H OCEAN
368,931,931,390,-122.14,37.73,3.8125,199646.0,NEAR BAY
170,474,474,176,-117.96,33.83,6.1001,260304.03,<1H OCEAN
453,1075,1075,460,-118.46,33.99,4.337,366965.16,<1H OCEAN
444,989,989,451,-122.34,37.94,3.125,140211.0,NEAR BAY
258,652,652,257,-118.14,33.86,4.2062,217001.0,<1H OCEAN
700,2165,2165,747,-122.36,37.54,10.1675,478724.7,NEAR OCEAN
451,1299,1299,452,-122.18,37.76,1.8407,115632.0,NEAR BAY
371,1044,1044,382,-117.64,34.03,4.8281,163676.0,INLAND
424,1207,1207,451,-119.69,36.79,2.7404,73678.0,INLAND
325,1061,1061,369,-122.34,40.63,3.6853,94500.0,INLAND
179,426,426,170,-121.43,37.74,3.0865,129159.0,INLAND
398,957,957,433,-121.98,37.16,5.3468,315179.01,<1H OCEAN
420,911,911,476,-117.41,33.94,2.87,121771.0,INLAND
769,1294,1294,842,-122.43,37.79,3.4375,439318.28,NEAR BAY
370,1039,1039,370,-118.11,33.79,5.7942,301174.01,<1H OCEAN
247,759,759,244,-118.85,34.14,8.7657,485453.76,<1H OCEAN
628,1598,1598,623,-121.96,37.36,3.5199,255199.0,<1H OCEAN
546,1672,1672,601,-118.35,34.04,1.8685,156779.0,<1H OCEAN
1451,3946,3946,1527,-117.94,33.91,5.6441,260545.0,<1H OCEAN
1059,2749,2749,1042,-121.84,37.37,2.3199,165644.0,<1H OCEAN
374,1053,1053,409,-121.31,38.65,5.5,178533.0,INLAND
321,640,640,334,-118.42,34.06,6.871,480689.8,<1H OCEAN
815,1986,1986,839,-122.47,37.95,3.9712,306005.09,NEAR BAY
1036,2866,2866,1216,-120.56,35.07,3.3603,212298.0,<1H OCEAN
1484,2496,2496,1593,-117.16,32.75,2.9112,212040.0,NEAR OCEAN
689,2341,2341,693,-116.96,32.79,2.6087,146458.0,<1H OCEAN
207,487,487,213,-122.49,37.74,3.8333,327089.0,NEAR OCEAN
617,1082,1082,648,-117.23,32.79,3.625,269910.03,NEAR OCEAN
306,905,905,310,-122.27,37.54,8.9083,494540.93,NEAR BAY
252,736,736,268,-118.13,34.01,2.7083,185101.0,<1H OCEAN
426,1267,1267,429,-122.01,37.36,6.6329,344605.01,<1H OCEAN
699,2758,2758,718,-118.07,34.06,2.5985,166480.0,<1H OCEAN
382,1008,1008,438,-121.43,38.62,2.0639,87929.0,INLAND
652,971,971,674,-118.14,34.15,0.8438,261363.19,<1H OCEAN
402,1002,1002,414,-117.9,33.9,4.9743,235977.0,<1H OCEAN
1029,2808,2808,1115,-122.51,38.17,3.6392,236320.0,NEAR BAY
221,316,316,232,-117.32,33.22,2.7417,132589.0,NEAR OCEAN
403,1154,1154,470,-122.5,37.74,4.3611,286151.0,NEAR OCEAN
414,1181,1181,421,-117.99,33.73,3.8365,203513.0,<1H OCEAN
438,1506,1506,472,-122.23,37.78,1.9338,112370.0,NEAR BAY
356,1691,1691,389,-115.49,32.69,1.899,77014.0,INLAND
536,1457,1457,549,-118.09,34.14,5.3377,346056.02,INLAND
500,1536,1536,580,-118.0,33.82,3.2326,197286.0,<1H OCEAN
107,349,349,107,-118.29,34.16,4.3438,265854.0,<1H OCEAN
266,825,825,272,-117.9,34.09,4.125,181344.0,<1H OCEAN
418,2198,2198,438,-122.45,37.78,3.6667,406448.12,NEAR BAY
450,1047,1047,442,-119.72,36.8,2.625,74151.0,INLAND
421,1255,1255,394,-117.92,33.94,4.7813,197038.0,<1H OCEAN
312,1005,1005,317,-115.6,32.87,4.1293,115385.0,INLAND
288,691,691,299,-122.32,37.56,5.549,332766.03,NEAR OCEAN
707,1364,1364,740,-118.27,34.1,5.7778,332210.17,<1H OCEAN
216,763,763,206,-117.97,34.05,3.5179,163875.0,<1H OCEAN
1087,3012,3012,1217,-120.86,37.69,3.0809,128668.0,INLAND
170,709,709,182,-118.09,34.07,3.175,194810.0,<1H OCEAN
340,862,862,349,-117.8,33.68,6.9133,333042.04,<1H OCEAN
545,2237,2237,573,-118.18,33.98,2.3444,159500.0,<1H OCEAN
326,1474,1474,318,-119.54,36.61,1.4937,50949.0,INLAND
603,2830,2830,632,-118.02,34.08,2.3333,161053.0,INLAND
863,2471,2471,893,-118.11,33.9,3.5052,203802.0,<1H OCEAN
266,975,975,253,-121.78,36.92,4.3906,247713.02,<1H OCEAN
754,2486,2486,791,-118.16,34.04,1.5078,159472.0,<1H OCEAN
1219,3645,3645,1269,-122.01,37.91,7.6877,362507.01,NEAR BAY
168,316,316,139,-122.41,37.76,3.0865,292331.1,NEAR BAY
138,479,479,218,-119.31,34.7,3.3438,136507.0,INLAND
446,1151,1151,427,-117.27,34.16,6.2236,203298.0,INLAND
373,1166,1166,377,-118.01,33.78,6.0,271031.0,<1H OCEAN
308,817,817,310,-118.5,34.21,5.5675,276199.0,<1H OCEAN
281,598,598,291,-118.36,33.87,3.9868,252349.0,<1H OCEAN
483,1746,1746,467,-119.18,34.17,3.9331,192142.0,NEAR OCEAN
263,729,729,265,-122.02,37.84,7.7072,356804.04,NEAR BAY
1735,3792,3792,1852,-118.13,33.95,3.1104,213581.0,<1H OCEAN
648,1894,1894,662,-119.75,36.8,2.197,72011.0,INLAND
431,1409,1409,469,-118.31,34.02,2.2981,145628.0,<1H OCEAN
407,1034,1034,426,-117.3,33.07,6.4247,338690.09,NEAR OCEAN
536,1300,1300,579,-121.74,38.55,1.6435,104357.0,INLAND
1224,3704,3704,1279,-121.59,37.02,4.4233,247847.0,INLAND
185,548,548,171,-122.08,37.63,3.7614,176059.0,NEAR BAY
345,879,879,342,-117.12,32.8,3.8125,169936.0,NEAR OCEAN
364,1060,1060,381,-122.7,38.33,3.0078,167207.0,<1H OCEAN
1436,4101,4101,1517,-119.01,35.31,2.1006,74208.0,INLAND
324,1258,1258,328,-121.06,37.86,2.683,101464.0,INLAND
516,1767,1767,588,-118.28,33.73,2.1935,201446.0,NEAR OCEAN
620,2268,2268,637,-120.64,37.38,2.567,91897.0,INLAND
380,883,883,426,-117.1,32.76,4.2813,181253.0,NEAR OCEAN
318,933,933,340,-115.53,32.97,2.4063,73882.0,INLAND
304,689,689,327,-117.14,32.74,3.125,190870.0,NEAR OCEAN
240,607,607,309,-120.76,38.47,3.5,130095.0,INLAND
486,923,923,913,-116.48,33.94,1.8,89575.0,INLAND
553,1753,1753,560,-121.87,37.27,5.0292,244915.01,<1H OCEAN
379,1283,1283,371,-118.72,34.28,5.5955,244009.0,<1H OCEAN
714,2071,2071,751,-121.34,38.03,4.4063,140886.0,INLAND
581,1757,1757,594,-118.52,34.2,4.3571,233416.0,<1H OCEAN
107,185,185,131,-121.91,37.3,3.625,260888.0,<1H OCEAN
163,597,597,166,-118.11,33.91,4.9609,194681.0,<1H OCEAN
365,978,978,356,-117.87,33.77,8.0784,378627.12,<1H OCEAN
168,496,496,181,-117.95,33.82,4.3269,206516.0,<1H OCEAN
158,443,443,213,-124.03,40.45,2.6094,103428.0,<1H OCEAN
189,393,393,195,-122.28,37.86,3.8594,204998.0,NEAR BAY
594,2399,2399,616,-118.16,33.9,2.7339,153787.01,<1H OCEAN
806,2248,2248,794,-118.32,33.74,10.1357,499777.99,NEAR OCEAN
816,1224,1224,938,-118.37,34.08,3.2149,319656.05,<1H OCEAN
345,891,891,349,-122.07,37.33,8.0158,447595.43,<1H OCEAN
340,998,998,350,-119.27,36.39,4.3281,103800.0,INLAND
240,517,517,310,-120.4,38.06,2.6544,110012.0,INLAND
550,1576,1576,570,-117.98,33.77,3.6333,181545.0,<1H OCEAN
394,1193,1193,477,-122.31,37.57,4.6371,370482.22,NEAR OCEAN
308,687,687,273,-117.09,32.98,2.3182,167513.04,<1H OCEAN
309,658,658,329,-117.79,33.56,7.866,377605.23,<1H OCEAN
144,573,573,165,-121.27,37.95,1.7212,63265.0,INLAND
659,1094,1094,903,-117.01,33.75,1.8015,105288.0,INLAND
435,1337,1337,481,-121.62,39.09,3.8534,121836.0,INLAND
545,1546,1546,528,-117.82,34.12,5.27,213735.0,INLAND
923,2662,2662,1032,-117.14,33.12,4.9005,216752.0,<1H OCEAN
374,1171,1171,357,-118.33,33.69,4.7216,337843.01,NEAR OCEAN
659,1740,1740,792,-121.48,38.5,1.3679,93536.0,INLAND
502,1351,1351,525,-120.68,35.48,2.7798,164887.0,<1H OCEAN
2152,5495,5495,2222,-118.8,34.19,8.6499,444571.23,<1H OCEAN
365,1068,1068,479,-120.3,35.1,4.5461,308511.07,<1H OCEAN
237,630,630,238,-122.19,37.76,1.925,91025.0,NEAR BAY
469,1374,1374,493,-118.35,34.05,2.0984,185112.0,<1H OCEAN
181,2862,2862,201,-118.17,34.06,2.1845,144746.01,<1H OCEAN
293,469,469,355,-117.7,33.57,3.6196,246882.07,<1H OCEAN
356,891,891,331,-118.37,33.87,6.5755,364397.04,<1H OCEAN
408,1267,1267,450,-121.0,39.23,4.0426,162822.0,INLAND
638,1325,1325,699,-120.82,35.31,2.5172,207212.0,NEAR OCEAN
333,1077,1077,322,-122.46,40.52,5.2149,195936.0,INLAND
247,921,921,268,-122.41,37.64,4.4464,250618.0,NEAR OCEAN
521,1832,1832,487,-119.03,34.23,5.2773,254613.0,<1H OCEAN
307,905,905,319,-119.73,34.35,4.375,327621.04,NEAR OCEAN
232,946,946,240,-118.1,33.96,4.0357,167929.0,<1H OCEAN
629,2053,2053,718,-122.87,38.68,3.7352,196553.0,<1H OCEAN
367,669,669,391,-122.27,37.88,3.5417,231824.0,NEAR BAY
395,1501,1501,417,-117.47,33.94,3.2311,115250.0,INLAND
228,595,595,225,-118.41,34.19,3.6625,200649.0,<1H OCEAN
675,2221,2221,676,-121.84,37.21,8.3792,450394.03,<1H OCEAN
261,867,867,270,-115.37,32.82,1.9375,64122.0,INLAND
356,754,754,347,-120.99,37.66,2.9137,111778.0,INLAND
335,935,935,330,-122.41,37.74,4.1552,264878.0,NEAR BAY
286,1037,1037,317,-120.75,37.37,2.4964,85258.0,INLAND
500,2077,2077,502,-118.14,34.02,2.6,162879.0,<1H OCEAN
443,1155,1155,458,-118.12,33.81,4.6087,231860.0,<1H OCEAN
2832,7608,7608,2979,-121.35,38.7,3.5802,113167.0,INLAND
315,855,855,464,-117.13,34.39,3.4183,120634.0,INLAND
763,1870,1870,845,-121.32,38.61,2.774,123161.0,INLAND
493,1278,1278,526,-118.28,34.24,4.45,241097.0,<1H OCEAN
244,807,807,226,-121.31,38.67,4.1563,129111.0,INLAND
75,163,163,64,-122.52,37.92,14.5833,479661.78,NEAR BAY
1061,2919,2919,1117,-118.51,34.11,13.947,500001.0,<1H OCEAN
1252,3806,3806,1452,-118.45,34.07,1.3125,289704.0,<1H OCEAN
579,1581,1581,787,-119.16,34.95,3.0882,89507.0,INLAND
234,871,871,238,-117.78,33.88,6.6678,277882.0,<1H OCEAN
281,781,781,263,-117.31,33.16,5.6605,294516.04,NEAR OCEAN
393,1367,1367,418,-118.3,33.95,1.5078,100229.0,<1H OCEAN
441,1661,1661,529,-118.15,34.16,2.2765,156964.0,<1H OCEAN
997,1086,1086,1256,-118.25,34.05,0.8131,279833.07,<1H OCEAN
312,1052,1052,341,-120.41,37.16,2.0809,69816.0,INLAND
27,37,37,24,-122.39,37.74,10.2264,292551.22,NEAR BAY
349,894,894,354,-118.15,33.84,7.6526,382329.14,<1H OCEAN
371,1442,1442,415,-122.41,37.75,4.2891,266530.0,NEAR BAY
1858,4773,4773,2041,-117.33,33.17,4.0791,206947.0,NEAR OCEAN
452,1462,1462,504,-120.45,34.66,4.7875,203316.0,NEAR OCEAN
440,1025,1025,480,-121.29,37.97,1.2962,77227.0,INLAND
972,1914,1914,1010,-121.94,37.31,3.7632,267789.01,<1H OCEAN
156,326,326,131,-118.42,34.03,4.5278,375383.09,<1H OCEAN
199,633,633,228,-120.24,38.01,3.125,111265.0,INLAND
165,447,447,175,-122.18,37.76,3.9063,159706.0,NEAR BAY
312,633,633,459,-122.63,38.96,1.75,72887.0,INLAND
384,1404,1404,390,-117.81,33.81,8.9257,409966.15,<1H OCEAN
33,66,66,48,-118.42,34.2,1.0,243027.08,<1H OCEAN
279,1146,1146,297,-121.8,37.34,5.2088,233783.0,<1H OCEAN
448,1015,1015,674,-122.86,39.08,2.0417,98167.0,INLAND
1742,3276,3276,1744,-122.26,37.86,1.6307,207906.03,NEAR BAY
340,1786,1786,349,-118.26,34.02,2.131,124450.0,<1H OCEAN
263,731,731,269,-122.09,37.7,6.005,262935.0,NEAR BAY
434,1099,1099,505,-117.91,33.66,3.225,218330.0,<1H OCEAN
487,1196,1196,547,-118.06,34.11,3.0854,249476.0,INLAND
353,942,942,358,-118.09,34.16,5.0393,322483.0,INLAND
349,811,811,349,-122.29,37.54,4.9464,329448.04,NEAR OCEAN
411,1370,1370,415,-117.95,34.06,4.6312,183942.0,<1H OCEAN
2207,6187,6187,2704,-118.75,34.18,6.6122,366261.13,NEAR OCEAN
211,691,691,194,-118.09,33.98,3.6875,172602.0,<1H OCEAN
358,1168,1168,374,-118.26,33.97,1.4625,96236.0,<1H OCEAN
308,1030,1030,327,-123.17,39.18,5.9585,295673.0,<1H OCEAN
530,1678,1678,585,-117.34,34.49,3.2941,105276.0,INLAND
580,1345,1345,664,-120.94,40.14,1.5774,76329.0,INLAND
272,857,857,268,-116.92,32.8,3.5586,161013.0,<1H OCEAN
403,718,718,406,-122.68,38.46,2.3929,177917.01,<1H OCEAN
398,1274,1274,387,-118.08,33.95,4.8304,193289.0,<1H OCEAN
243,719,719,260,-117.91,33.83,3.0288,182703.0,<1H OCEAN
453,1557,1557,503,-118.2,34.12,2.9194,176823.0,<1H OCEAN
374,1050,1050,482,-122.51,38.76,4.0435,135664.0,INLAND
562,1606,1606,573,-117.82,34.13,6.1321,281670.01,INLAND
813,1248,1248,847,-122.43,37.79,7.2623,430509.38,NEAR BAY
419,1108,1108,435,-119.04,36.07,2.2277,61606.0,INLAND
447,1230,1230,422,-117.94,34.06,3.6648,182480.0,<1H OCEAN
481,1487,1487,512,-121.38,36.84,3.6354,198629.0,INLAND
498,2031,2031,503,-121.76,36.77,2.3384,144107.0,<1H OCEAN
671,1698,1698,681,-121.35,37.97,3.1406,111072.0,INLAND
322,760,760,350,-121.83,37.02,2.9559,203385.0,<1H OCEAN
560,1454,1454,641,-117.83,33.67,3.7976,234733.0,<1H OCEAN
238,674,674,234,-120.27,37.11,2.6694,105906.0,INLAND
188,565,565,208,-117.08,33.12,1.875,147628.0,<1H OCEAN
366,1888,1888,365,-118.18,33.9,3.5461,147022.0,<1H OCEAN
1025,2470,2470,1085,-118.16,33.78,2.3317,177317.0,NEAR OCEAN
899,2296,2296,894,-118.1,34.17,3.4811,238887.0,INLAND
655,1795,1795,737,-118.18,34.12,2.369,172646.0,<1H OCEAN
375,1117,1117,393,-120.43,34.9,4.1058,171391.0,<1H OCEAN
298,1296,1296,296,-119.43,36.61,2.4219,72891.0,INLAND
252,1153,1153,241,-118.19,33.92,3.305,146292.0,<1H OCEAN
53,147,147,69,-118.12,34.23,3.9583,191186.95,INLAND
228,782,782,221,-117.96,33.71,4.5962,212291.0,<1H OCEAN
522,1247,1247,601,-121.27,38.65,2.9016,114517.0,INLAND
626,1768,1768,715,-121.47,38.13,2.2619,94517.0,INLAND
455,1143,1143,478,-122.49,37.79,6.1407,437507.52,NEAR BAY
668,2033,2033,812,-118.46,35.12,3.2405,94355.0,INLAND
135,443,443,156,-117.57,33.87,2.3333,140434.0,INLAND
186,488,488,184,-122.23,37.8,1.9375,144420.02,NEAR BAY
290,802,802,314,-118.36,33.86,5.0784,309839.0,<1H OCEAN
316,1216,1216,283,-117.71,34.08,2.5972,126639.0,INLAND
269,823,823,237,-117.18,32.84,4.2768,193324.0,NEAR OCEAN
357,1026,1026,379,-117.07,32.63,3.455,143319.0,NEAR OCEAN
201,539,539,217,-123.12,40.54,1.8696,78373.0,INLAND
357,748,748,360,-118.36,34.07,4.7019,466654.31,<1H OCEAN
810,3151,3151,890,-118.46,34.29,3.0526,183323.0,<1H OCEAN
122,416,416,126,-121.97,37.87,13.4883,465157.45,INLAND
299,812,812,345,-119.25,36.32,2.75,81326.0,INLAND
278,729,729,298,-118.32,33.8,3.1648,294329.0,<1H OCEAN
562,1208,1208,605,-121.96,37.24,5.4683,297282.01,<1H OCEAN
56,143,143,63,-120.24,39.67,3.625,147657.0,INLAND
1063,3916,3916,1180,-118.16,33.79,2.4,174101.0,NEAR OCEAN
1327,3409,3409,1589,-119.09,34.24,5.3806,276754.0,<1H OCEAN
667,2144,2144,690,-118.13,34.02,2.3359,168008.0,<1H OCEAN
292,571,571,300,-122.28,37.87,2.2788,153299.0,NEAR BAY
404,1137,1137,416,-117.79,33.68,7.2118,317295.04,<1H OCEAN
267,676,676,269,-122.31,37.53,4.6125,384970.18,NEAR OCEAN
562,1341,1341,598,-117.17,32.69,4.5189,348376.01,NEAR OCEAN
284,740,740,324,-122.08,37.69,2.8512,173876.0,NEAR BAY
138,349,349,130,-117.65,34.06,2.0893,117103.0,INLAND
342,1072,1072,382,-118.04,34.13,6.0878,409002.27,INLAND
508,1763,1763,524,-118.47,34.42,5.2887,225336.02,<1H OCEAN
798,1492,1492,873,-117.24,32.8,2.9258,214035.0,NEAR OCEAN
654,1760,1760,640,-116.98,33.94,3.4545,114769.0,INLAND
358,1156,1156,352,-121.13,36.21,3.1929,156942.0,<1H OCEAN
1235,2930,2930,1249,-122.24,37.73,4.5213,240185.0,NEAR BAY
828,2277,2277,818,-118.15,34.1,3.1211,222450.0,<1H OCEAN
926,2256,2256,1069,-121.38,38.64,2.1472,114090.0,INLAND
401,1883,1883,406,-117.04,32.58,5.0311,161009.0,NEAR OCEAN
291,848,848,286,-122.06,37.65,3.8036,166950.0,NEAR BAY
330,1150,1150,358,-121.65,36.77,4.7969,233866.0,<1H OCEAN
637,2209,2209,652,-117.96,33.67,7.0173,330088.01,<1H OCEAN
411,1050,1050,416,-121.36,38.73,3.141,105370.0,INLAND
666,2466,2466,693,-122.47,37.7,3.6588,251975.0,NEAR OCEAN
438,1603,1603,424,-124.06,40.88,2.5667,95183.0,NEAR OCEAN
159,537,537,162,-119.84,34.44,4.2404,301457.03,NEAR OCEAN
152,560,560,204,-122.29,37.81,1.75,97446.0,NEAR BAY
913,2689,2689,901,-118.29,33.82,3.4375,213033.0,<1H OCEAN
297,780,780,290,-119.09,36.22,3.4306,102988.0,INLAND
441,1308,1308,448,-118.09,33.83,5.9265,306476.0,<1H OCEAN
278,636,636,288,-117.06,32.76,3.2188,158863.0,NEAR OCEAN
559,1777,1777,597,-121.96,37.58,5.7192,251762.0,<1H OCEAN
418,946,946,400,-117.91,33.63,2.7264,233215.0,<1H OCEAN
461,977,977,464,-117.12,32.77,3.125,182589.0,NEAR OCEAN
21,44,44,178,-120.33,39.3,3.0,131634.0,INLAND
380,1005,1005,349,-119.69,36.73,7.2211,221224.0,INLAND
734,1799,1799,881,-121.92,40.52,2.2993,84881.0,INLAND
57,131,131,146,-123.32,40.43,0.4999,87589.97,INLAND
488,1578,1578,517,-118.13,33.93,3.1496,217066.0,<1H OCEAN
567,2450,2450,576,-117.05,32.57,3.1696,129799.0,NEAR OCEAN
3,9,9,10,-116.76,34.14,0.536,182609.07,INLAND
331,1011,1011,332,-121.14,37.48,3.7045,147551.0,INLAND
336,1489,1489,339,-117.66,34.06,1.608,109216.0,INLAND
885,2147,2147,1031,-122.28,41.38,2.8036,112505.0,INLAND
636,1871,1871,674,-118.34,33.76,15.0001,500001.0,NEAR OCEAN
639,1269,1269,682,-122.45,37.77,3.575,412290.28,NEAR BAY
492,1570,1570,528,-119.7,36.81,2.7159,78744.0,INLAND
493,1121,1121,520,-121.73,36.5,5.6383,327219.06,<1H OCEAN
235,738,738,247,-118.46,34.26,5.0947,218234.0,<1H OCEAN
375,1089,1089,396,-118.25,34.22,5.5362,322131.0,<1H OCEAN
577,1234,1234,635,-118.41,34.03,5.1637,433833.33,<1H OCEAN
568,1614,1614,606,-121.82,38.01,3.4722,132409.0,INLAND
2552,7732,7732,2602,-117.95,33.98,5.6716,273770.0,<1H OCEAN
247,1425,1425,308,-119.97,36.57,2.0313,59598.0,INLAND
881,3287,3287,902,-118.27,33.8,4.8508,219545.0,<1H OCEAN
460,1673,1673,457,-117.11,32.71,1.7,85578.0,NEAR OCEAN
622,2634,2634,623,-121.82,37.32,3.135,160065.0,<1H OCEAN
275,909,909,271,-118.06,33.91,4.6731,180995.0,<1H OCEAN
581,1335,1335,609,-120.42,37.98,2.5129,113486.0,INLAND
391,1530,1530,441,-119.76,36.71,1.5611,53119.0,INLAND
627,2357,2357,695,-118.29,33.95,1.9655,108057.0,<1H OCEAN
524,1628,1628,565,-122.41,37.77,2.6083,289222.03,NEAR BAY
419,643,643,494,-117.16,32.75,1.9637,161827.0,NEAR OCEAN
402,1133,1133,432,-123.32,39.42,2.3906,117036.0,<1H OCEAN
251,644,644,245,-122.33,37.56,10.0743,491898.92,NEAR OCEAN
360,746,746,355,-117.23,32.78,4.6293,269262.0,NEAR OCEAN
665,2286,2286,678,-118.05,33.83,5.7018,262723.01,<1H OCEAN
800,1953,1953,833,-118.46,34.02,2.6639,358194.03,<1H OCEAN
395,884,884,415,-121.45,38.53,2.1679,96937.0,INLAND
391,1345,1345,389,-118.16,34.18,1.8932,161308.0,<1H OCEAN
413,1243,1243,441,-118.57,34.18,6.5304,337608.08,<1H OCEAN
762,1657,1657,727,-122.07,37.37,4.8021,325093.16,NEAR BAY
275,826,826,269,-122.06,37.33,8.248,459758.62,<1H OCEAN
244,560,560,270,-121.02,37.09,2.0216,108167.0,INLAND
1141,3678,3678,1263,-118.31,34.09,2.0,264879.04,<1H OCEAN
199,620,620,214,-119.95,36.8,3.4297,106206.0,INLAND
444,1925,1925,512,-119.78,36.75,1.4635,54313.0,INLAND
168,1436,1436,146,-119.12,34.25,3.5625,186160.02,NEAR OCEAN
1285,3845,3845,1311,-117.57,34.02,4.6727,166563.0,INLAND
403,1056,1056,390,-121.67,39.14,3.6111,114517.0,INLAND
377,1172,1172,420,-117.15,34.04,7.5822,274633.0,INLAND
475,1946,1946,489,-121.82,37.28,5.0709,232286.02,<1H OCEAN
1113,3716,3716,1165,-117.6,33.87,4.2721,171111.0,INLAND
367,850,850,384,-117.62,33.43,2.7545,171075.0,NEAR OCEAN
709,1279,1279,775,-122.41,37.8,5.4378,429147.51,NEAR BAY
956,2309,2309,986,-120.67,35.3,2.2165,220204.01,NEAR OCEAN
613,1660,1660,718,-121.3,38.59,2.1116,109169.0,INLAND
369,1558,1558,370,-117.05,32.58,5.3072,176752.0,NEAR OCEAN
539,1524,1524,518,-120.48,34.7,4.3162,181595.0,NEAR OCEAN
479,1304,1304,497,-116.96,33.94,1.4063,74895.0,INLAND
349,973,973,360,-118.27,34.16,3.6587,250481.0,<1H OCEAN
642,2018,2018,675,-121.98,38.37,2.8438,120548.0,INLAND
559,1139,1139,586,-117.87,34.14,2.9375,175979.0,INLAND
776,2959,2959,779,-118.2,33.96,3.1875,160552.0,<1H OCEAN
462,1638,1638,585,-122.36,37.94,1.822,97729.0,NEAR BAY
253,725,725,250,-121.87,37.22,7.6933,367995.03,<1H OCEAN
579,1130,1130,592,-117.33,33.23,2.5872,160255.0,NEAR OCEAN
916,2616,2616,956,-122.01,37.03,5.9039,330510.03,NEAR OCEAN
517,813,813,1130,-122.01,37.4,3.7614,254347.06,<1H OCEAN
203,1197,1197,200,-118.42,34.28,3.2865,141904.0,<1H OCEAN
562,1051,1051,566,-122.43,37.76,2.8458,396135.01,NEAR BAY
739,1939,1939,804,-116.95,33.78,1.7303,86080.0,INLAND
1100,3918,3918,1241,-121.54,36.7,3.525,203836.0,<1H OCEAN
333,642,642,319,-121.02,39.23,1.4241,126206.0,INLAND
380,992,992,361,-124.17,40.76,2.8056,88088.0,NEAR OCEAN
568,1588,1588,624,-118.1,33.86,4.3397,200873.0,<1H OCEAN
228,797,797,231,-119.8,36.73,1.7011,55294.0,INLAND
239,1015,1015,249,-117.94,34.03,4.0521,156688.0,<1H OCEAN
329,814,814,326,-118.35,34.17,4.4408,259216.0,<1H OCEAN
